Source,Description,Estimated,Authorized,Total Actual,Actual
Ministry of Social Development and Poverty Reduction,Employment and Assistance Appeal Tribunal - Employment and Assistance Appeal Tribunal,1945000,,1911039,
Ministry of Social Development and Poverty Reduction,Executive and Support Services - Minister's Office,941000,,863448,
Ministry of Social Development and Poverty Reduction,Executive and Support Services - Corporate Services,13114000,,15955173,
Ministry of Social Development and Poverty Reduction,Adjustment of Prior Year Accrual,0,,-229032,
Ministry of Social Development and Poverty Reduction,Total Expense,5175972000,,5175742966,
"Ministry of Tourism, Arts, Culture and Sport",,26165000,,,
"Ministry of Tourism, Arts, Culture and Sport",,39376073,,,
"Ministry of Tourism, Arts, Culture and Sport",,49259928,,,
"Ministry of Tourism, Arts, Culture and Sport",,3637000,,,
"Ministry of Tourism, Arts, Culture and Sport",,2228000,,,
"Ministry of Tourism, Arts, Culture and Sport",,8388000,,,
"Ministry of Tourism, Arts, Culture and Sport",,56268000,,,
"Ministry of Tourism, Arts, Culture and Sport",,6611000,,,
"Ministry of Tourism, Arts, Culture and Sport",,27542000,,,
"Ministry of Tourism, Arts, Culture and Sport",,852000,,,
"Ministry of Tourism, Arts, Culture and Sport",,3246805,,,
"Ministry of Tourism, Arts, Culture and Sport",,2452000,,,
"Ministry of Tourism, Arts, Culture and Sport",,86000,,,
"Ministry of Tourism, Arts, Culture and Sport",,4230000,,,
"Ministry of Tourism, Arts, Culture and Sport",,1200000,,,
"Ministry of Tourism, Arts, Culture and Sport",,0,,,
"Ministry of Tourism, Arts, Culture and Sport",,231541806,,,
Ministry of Transportation and Transit,Transportation and Infrastructure Improvements - Transportation Policy and Programs,24494000,,36877581,
Ministry of Transportation and Transit,Transportation and Infrastructure Improvements - Transportation Investments,1000,,0,
Ministry of Transportation and Transit,Transportation and Infrastructure Improvements - Partnerships,1000,,0,
Ministry of Transportation and Transit,Transportation and Infrastructure Improvements - Port and Airport Development,2832000,,2208710,
Ministry of Transportation and Transit,Transportation and Infrastructure Improvements - Enhancing Economic Development,1169000,,4674117,
Ministry of Transportation and Transit,Public Transportation - Public Transit,165437000,,481131246,
Ministry of Transportation and Transit,Public Transportation - Coastal Ferry Services,207914000,,204789795,
Ministry of Transportation and Transit,Highway Operations - Maintenance and Operations,642980000,,651730891,
Ministry of Transportation and Transit,Highway Operations - Commercial Vehicle Safety and Enforcement,32257000,,28906847,
Ministry of Transportation and Transit,Highway Operations - Inland Ferries,29998000,,28325346,
Ministry of Transportation and Transit,Commercial Transportation Regulation - Container Trucking Commissioner,1000,,55905,
Ministry of Transportation and Transit,Commercial Transportation Regulation - Passenger Transportation Branch,1968000,,588082,
Ministry of Transportation and Transit,Executive and Support Services - Ministers' Offices,1082000,,1121750,
Ministry of Transportation and Transit,Executive and Support Services - Corporate Services,25305000,,24702442,
Ministry of Transportation and Transit,Adjustment of Prior Year Accrual,0,,-6259066,
Ministry of Transportation and Transit,Total Expense,1135439000,,1458853646,
"Ministry of Water, Land and Resource Stewardship",,50773000,,,
"Ministry of Water, Land and Resource Stewardship",,5400000,,,
"Ministry of Water, Land and Resource Stewardship",,30582449,,,
"Ministry of Water, Land and Resource Stewardship",,9796572,,,
"Ministry of Water, Land and Resource Stewardship",,29549000,,,
"Ministry of Water, Land and Resource Stewardship",,6426620,,,
"Ministry of Water, Land and Resource Stewardship",,59906,,,
"Ministry of Water, Land and Resource Stewardship",,1681669,,,
"Ministry of Water, Land and Resource Stewardship",,90195786,,,
"Ministry of Water, Land and Resource Stewardship",,-90195786,,,
"Ministry of Water, Land and Resource Stewardship",,0,,,
"Ministry of Water, Land and Resource Stewardship",,134269216,,,
Office of the Premier,Intergovernmental Relations Secretariat,3837000,,4425092,
Office of the Premier,Cabinet Operations,2293000,,2187254,
Office of the Premier,Planning and Priorities Secretariat,1772000,,1053214,
Office of the Premier,Executive and Support Services - Premier's Office,5932000,,6042400,
Office of the Premier,Executive and Support Services - Deputy Minister's Office,2920000,,2380596,
Office of the Premier,Local Government (Transferred from Ministry of Municipal Affairs),0,,162,
Office of the Premier,Total Expense,16754000,,16088718,
Officers of the Legislature,Auditor General,26356000,,24378383,
Officers of the Legislature,Conflict of Interest Commissioner,899000,,739043,
Officers of the Legislature,Elections BC,94749000,,90856629,
Officers of the Legislature,Human Rights Commissioner,7668000,,7651549,
Officers of the Legislature,Information and Privacy Commissioner,11011000,,11574274,
Officers of the Legislature,Merit Commissioner,1667000,,1628668,
Officers of the Legislature,Ombudsperson,15081000,,14961272,
Officers of the Legislature,Police Complaint Commissioner,8296000,,9306144,
Officers of the Legislature,Representative for Children and Youth,12829000,,12916130,
Officers of the Legislature,Adjustment of Prior Year Accrual,0,,-290566,
Officers of the Legislature,Total Expense,178556000,,173721526,
Tax Transfers,Climate Action Tax Credit,1022000000,,980215571,
Tax Transfers,BC Family Benefit,664800000,,695803175,
Tax Transfers,Renters Tax Credit,279000000,,90446104,
Tax Transfers,Sales Tax Credit,50000000,,35086708,
Tax Transfers,Small Business Venture Capital Tax Credit,40000000,,11092498,
Tax Transfers,Other Personal Income Tax Credits,167200000,,275740954,
Tax Transfers,Film and Television Tax Credit,162500000,,138102194,
Tax Transfers,Production Services Tax Credit,746800000,,813521885,
Tax Transfers,Scientific Research and Experimental Development Tax Credit,116300000,,118095187,
Tax Transfers,Interactive Digital Media Tax Credit,140000000,,126107409,
Tax Transfers,Clean Buildings Tax Credit,20000000,,0,
Tax Transfers,Other Corporate Income Tax Credits,83400000,,67850734,
Tax Transfers,Total Expense,3492000000,,3352062419,
